ID,Possession Status,Availability Starts From,Floor No,Commercial,Developer,Units Available,Price,Price (English),Flooring Type,Covered Area,Project Name,sqft Price ,Carpet Area,Area Name,Property Uniqueness,Unit of Carpet Area,Ownership Type,furnished Type,Bathroom,Parking,Facing,Amenities Facing,Transaction Type,Type of Property,City,bedroom,floors,Luxury Flat,Carpet Area Unit,isPrimeLocationProperty,Property,isLuxuryServiceProvided,Property Lifespan,balconies,NRI Pref,Land Area / Covered Area,Land Area Unit
8040,Ready to Move,NA,7,N,Siddhi Group,1,3700000,37 Lac,NA,500,Pride Residency,7400,310,Manpada,NA,Sq-ft,NA,Unfurnished,1,NA,NA,NA,Resale,Apartment,Thane,1,7,F,Sq-ft,Y,1 BHK Flat,0,Less than 5 years,1,NA,NA,NA
8039,Ready to Move,NA,50,Y,Narang Realty and The Wadhwa Group,NA,75000000,7.50 Cr,Marble,6000,Courtyard Thane,12500,NA,Pokharan Road Number 2,East Facing Property,Sq-ft,Freehold,Unfurnished,7,"7 Covered, 1 Open",East,"Garden/Park, Pool, Main Road",Resale,Apartment,Thane,6,50,F,NA,Y,6 BHK Flat,0,New Construction,6,NA,NA,NA
8038,Under Construction,NA,28,N,Lakhani Builders Pvt. Ltd.,NA,23000000,2.30 Cr,NA,NA,Empire Towers,24704,931,Teen Hath Naka,East Facing Property,NA,Freehold,Unfurnished,3,NA,East,NA,Resale,Apartment,Thane,3,31,F,Sq-ft,Y,3 BHK Flat,0,NA,NA,NA,NA,NA
8037,Ready to Move,NA,Ground,N,Raunak Group,NA,2000000,20 Lac,NA,420,Laxmi Narayan Residency,4762,NA,Thane West,East Facing Property,Sq-ft,Freehold,Unfurnished,1,NA,East,NA,Resale,Apartment,Thane,1,3,F,NA,N,1 BHK Flat,0,Less than 5 years,NA,NA,NA,NA
8036,Ready to Move,Jun '16,2,N,NA,1,7695000,77 Lac,"Ceramic Tiles,Vitrified",855,NA,9000,NA,Patlipada,Newly Constructed Property,Sq-ft,Freehold,Unfurnished,2,4 Open,South - East,Main Road,New Property,Apartment,Thane,2,7,F,NA,N,2 BHK Flat,0,NA,3,NA,NA,NA
8035,Ready to Move,NA,4,Y,NA,1,2500000,25 Lac,NA,NA,NA,NA,540,Manpada,NA,NA,Freehold,Unfurnished,1,NA,NA,NA,Resale,Apartment,Thane,1,4,F,Sq-ft,N,1 BHK Flat,0,5 to 10 years,NA,NA,NA,NA
8034,Ready to Move,NA,4,N,NA,1,2000000,20 Lac,Granite,NA,NA,NA,510,Thane West,NA,NA,Freehold,Unfurnished,2,NA,NA,Main Road,Resale,Apartment,Thane,1,4,F,Sq-ft,N,1 BHK Flat,0,5 to 10 years,NA,NA,NA,NA
8033,Ready to Move,NA,1,N,Sanghvi Premises,1,5300000,53 Lac,NA,740,Sanghvi Garden,7162,740,Manpada,NA,Sq-ft,Freehold,Semi-Furnished,2,1 Open,NA,Garden/Park,Resale,Apartment,Thane,2,7,F,NA,N,2 BHK Flat,0,Above 20 years,NA,NA,NA,NA
8032,Ready to Move,NA,1,N,NA,NA,9200000,92 Lac,"Vitrified,Marble",550,NA,16727,403,Hiranandani Estate,Near TMC Lake Garden Hiranandani estate,Sq-ft,Freehold,Semi-Furnished,2,1 Covered,North - East,Garden/Park,Resale,Apartment,Thane,1,36,F,Sq-ft,N,1 BHK Flat,0,Less than 5 years,NA,Y,NA,NA
8031,Ready to Move,NA,4,N,NA,0,1450000,14.5 Lac,Ceramic Tiles,410,NA,3537,NA,Thane West,East Facing Property,Sq-ft,Freehold,Semi-Furnished,1,NA,East,Main Road,Resale,Apartment,Thane,1,9,F,NA,N,1 BHK Flat,0,Less than 5 years,2,NA,NA,NA
